url_id,content_entity_id,raw_url,normalized_url,target_country,language,locale_tag,page_type,template_file,source_file_or_model,discovery_sources,inventory_state,expected_indexability,in_sitemap,sitemap_lastmod,first_published,notes
U003150,,https://www.myglobalhealth.online/portugal/traveler's-consultation,https://www.myglobalhealth.online/portugal/traveler's-consultation,,,,market_home,frontend/app/[country]/[lang]/page.tsx,,redirect_source,redirect_source,redirect,no,,,redirect rule #537 -> /portugal/pt/services/consulta-do-viajante (permanent=True)
U003151,,https://www.myglobalhealth.online/portugal/traveler/'s-consultation,https://www.myglobalhealth.online/portugal/traveler/'s-consultation,,,,unknown,,,redirect_source,redirect_source,redirect,no,,,redirect rule #496 -> /portugal/pt/services/consulta-do-viajante (permanent=True)
U003152,,https://www.myglobalhealth.online/portugal/travelers-consultation,https://www.myglobalhealth.online/portugal/travelers-consultation,,,,market_home,frontend/app/[country]/[lang]/page.tsx,,redirect_source,redirect_source,redirect,no,,,redirect rule #538 -> /portugal/pt/services/consulta-do-viajante (permanent=True)
U003153,,https://www.myglobalhealth.online/portugal/weight-loss-consultation,https://www.myglobalhealth.online/portugal/weight-loss-consultation,,,,market_home,frontend/app/[country]/[lang]/page.tsx,,redirect_source,redirect_source,redirect,no,,,redirect rule #539 -> /portugal/pt/services/perda-de-peso (permanent=True)
U003154,,https://www.myglobalhealth.online/post/:slug,https://www.myglobalhealth.online/post/:slug,,,,unknown,,,redirect_source,route_pattern_not_url,redirect,no,,,"redirect rule #564 -> /ireland/en/blog (permanent=True) | next.config source pattern, not a URL; excluded from URL counts"
U003155,,/post/coronary-artery-disease-signs-and-symptoms,https://www.myglobalhealth.online/post/coronary-artery-disease-signs-and-symptoms,,,,unknown,,,legacy_export,unknown,unknown,no,,,
U003163,,https://www.myglobalhealth.online/post/diabetes-a-silent-disease,https://www.myglobalhealth.online/post/diabetes-a-silent-disease,,,,unknown,,,redirect_source,redirect_source,redirect,no,,,redirect rule #559 -> /ireland/en/blog/diabetes-a-silent-disease (permanent=True)
U003164,,/post/getting-a-gp-sick-note-online-simplified,https://www.myglobalhealth.online/post/getting-a-gp-sick-note-online-simplified,,,,unknown,,,legacy_export,unknown,unknown,no,,,
U003169,,https://www.myglobalhealth.online/post/hand-foot-and-mouth-disease,https://www.myglobalhealth.online/post/hand-foot-and-mouth-disease,,,,unknown,,,redirect_source,redirect_source,redirect,no,,,redirect rule #560 -> /ireland/en/blog/hand-foot-and-mouth-disease-signs-and-treatment (permanent=True)
U003170,,https://www.myglobalhealth.online/post/hand-foot-and-mouth-disease-signs-and-treatment,https://www.myglobalhealth.online/post/hand-foot-and-mouth-disease-signs-and-treatment,,,,unknown,,,legacy_export|redirect_source,redirect_source,redirect,no,,,redirect rule #561 -> /ireland/en/blog/hand-foot-and-mouth-disease-signs-and-treatment (permanent=True)
U003176,,/post/hypotyroidism-causes-signs-management-and-preven,https://www.myglobalhealth.online/post/hypotyroidism-causes-signs-management-and-preven,,,,unknown,,,legacy_export,unknown,unknown,no,,,
U003177,,/post/mounjaro-vs-ozempic-differences-benefits-and-when-to-use,https://www.myglobalhealth.online/post/mounjaro-vs-ozempic-differences-benefits-and-when-to-use,,,,unknown,,,legacy_export,unknown,unknown,no,,,
U003184,,https://www.myglobalhealth.online/post/sick-certificate-ireland-employee-rights,https://www.myglobalhealth.online/post/sick-certificate-ireland-employee-rights,,,,unknown,,,redirect_source,redirect_source,redirect,no,,,redirect rule #563 -> /ireland/en/blog/sick-certificate-ireland-employee-rights (permanent=True)
U003185,,/post/tadalafil-far-beyond-erectile-dysfunction-understand-guide-and-protect,https://www.myglobalhealth.online/post/tadalafil-far-beyond-erectile-dysfunction-understand-guide-and-protect,,,,unknown,,,legacy_export,unknown,unknown,no,,,
U003186,,/post/types-of-cancer-based-on-tissue-type-of-origin,https://www.myglobalhealth.online/post/types-of-cancer-based-on-tissue-type-of-origin,,,,unknown,,,legacy_export,unknown,unknown,no,,,
U003191,,/post/understanding-hypercholesterolemia-global-health,https://www.myglobalhealth.online/post/understanding-hypercholesterolemia-global-health,,,,unknown,,,legacy_export,unknown,unknown,no,,,
U003193,,https://www.myglobalhealth.online/post/when-to-see-a-gp-online-vs-in-person,https://www.myglobalhealth.online/post/when-to-see-a-gp-online-vs-in-person,,,,unknown,,,redirect_source,redirect_source,redirect,no,,,redirect rule #562 -> /ireland/en/blog/when-to-see-a-gp-online-vs-in-person (permanent=True)
U003194,,https://www.myglobalhealth.online/pricing-plans/:slug,https://www.myglobalhealth.online/pricing-plans/:slug,,,,unknown,,,redirect_source,route_pattern_not_url,redirect,no,,,"redirect rule #137 -> /ireland/en/pricing (permanent=True) | next.config source pattern, not a URL; excluded from URL counts"
U003195,,https://www.myglobalhealth.online/pricing-plans/list,https://www.myglobalhealth.online/pricing-plans/list,,,,unknown,,,redirect_source,redirect_source,redirect,no,,,redirect rule #136 -> /ireland/en/pricing (permanent=True)
U003196,,https://www.myglobalhealth.online/privacy,https://www.myglobalhealth.online/privacy,,,,legal,frontend/app/(global)/privacy/page.tsx,,redirect_target|route|sitemap,canonical_candidate,index,yes,,,
U003197,,https://www.myglobalhealth.online/product-page/:slug((,https://www.myglobalhealth.online/product-page/:slug((,,,,unknown,,,redirect_source,route_pattern_not_url,redirect,no,,,"redirect rule #179 -> /ireland/en/lab-tests (permanent=True) | next.config source pattern, not a URL; excluded from URL counts"
U003198,,https://www.myglobalhealth.online/product-page/amh-test-anti-m%C3%BCllerian-hormone,https://www.myglobalhealth.online/product-page/amh-test-anti-m%C3%BCllerian-hormone,,,,unknown,,,legacy_export|redirect_source,redirect_source,redirect,no,,,redirect rule #161 -> /ireland/en/lab-tests/amh-fertility-test (permanent=True)
U003200,,/product-page/beauty-focus-collagen,https://www.myglobalhealth.online/product-page/beauty-focus-collagen,,,,unknown,,,legacy_export,unknown,unknown,no,,,
U003211,,/product-page/beauty-focus-multibeauty,https://www.myglobalhealth.online/product-page/beauty-focus-multibeauty,,,,unknown,,,legacy_export,unknown,unknown,no,,,
U003234,,https://www.myglobalhealth.online/product-page/coeliac-disease-test,https://www.myglobalhealth.online/product-page/coeliac-disease-test,,,,unknown,,,legacy_export|redirect_source,redirect_source,redirect,no,,,redirect rule #165 -> /ireland/en/lab-tests/genetic-coeliac-disease-test (permanent=True)
U003239,,https://www.myglobalhealth.online/product-page/female-hormone-test,https://www.myglobalhealth.online/product-page/female-hormone-test,,,,unknown,,,legacy_export|redirect_source,redirect_source,redirect,no,,,redirect rule #155 -> /ireland/en/lab-tests/female-hormone-test (permanent=True)
U003242,,https://www.myglobalhealth.online/product-page/general-health-blood-hometest,https://www.myglobalhealth.online/product-page/general-health-blood-hometest,,,,unknown,,,redirect_source,redirect_source,redirect,no,,,redirect rule #169 -> /ireland/en/lab-tests/general-health-test (permanent=True)
U003243,,/product-page/genetic-lactose-intolereance-test,https://www.myglobalhealth.online/product-page/genetic-lactose-intolereance-test,,,,unknown,,,legacy_export|redirect_source,redirect_source,redirect,no,,,redirect rule #151 -> /ireland/en/lab-tests/genetic-lactose-intolerance-test (permanent=True)
U003252,,https://www.myglobalhealth.online/product-page/gut-microbiome-test,https://www.myglobalhealth.online/product-page/gut-microbiome-test,,,,unknown,,,legacy_export|redirect_source,redirect_source,redirect,no,,,redirect rule #163 -> /ireland/en/lab-tests/gut-microbiome-test (permanent=True)
U003254,,/product-page/haemochromatosis-test,https://www.myglobalhealth.online/product-page/haemochromatosis-test,,,,unknown,,,legacy_export|redirect_source,redirect_source,redirect,no,,,redirect rule #173 -> /ireland/en/lab-tests/genetic-haemochromatosis-test (permanent=True)
U003260,,https://www.myglobalhealth.online/product-page/heart-health-home-test,https://www.myglobalhealth.online/product-page/heart-health-home-test,,,,unknown,,,legacy_export|redirect_source,redirect_source,redirect,no,,,redirect rule #153 -> /ireland/en/lab-tests/heart-health-cholesterol-test (permanent=True)
U003262,,https://www.myglobalhealth.online/product-page/male-hormone-test,https://www.myglobalhealth.online/product-page/male-hormone-test,,,,unknown,,,legacy_export|redirect_source,redirect_source,redirect,no,,,redirect rule #157 -> /ireland/en/lab-tests/male-hormone-test (permanent=True)
U003266,,https://www.myglobalhealth.online/product-page/nutrition-and-lifestyle-home-dna-test,https://www.myglobalhealth.online/product-page/nutrition-and-lifestyle-home-dna-test,,,,unknown,,,legacy_export|redirect_source,redirect_source,redirect,no,,,redirect rule #171 -> /ireland/en/lab-tests/nutrition-lifestyle-dna-test (permanent=True)
U003271,,https://www.myglobalhealth.online/product-page/osentia-fracture-risk-assessment-test,https://www.myglobalhealth.online/product-page/osentia-fracture-risk-assessment-test,,,,unknown,,,legacy_export|redirect_source,redirect_source,redirect,no,,,redirect rule #167 -> /ireland/en/lab-tests/fracture-risk-assessment-test (permanent=True)
U003275,,https://www.myglobalhealth.online/product-page/psa-test-prostatic-specific-antigen,https://www.myglobalhealth.online/product-page/psa-test-prostatic-specific-antigen,,,,unknown,,,legacy_export|redirect_source,redirect_source,redirect,no,,,redirect rule #159 -> /ireland/en/lab-tests/psa-prostate-test (permanent=True)
U003278,,https://www.myglobalhealth.online/product-page/telemedicine-kit,https://www.myglobalhealth.online/product-page/telemedicine-kit,,,,unknown,,,legacy_export|retired,retired,gone,no,,,Wix alias/placeholder — see gone-content.ts
U003281,,/product-page/thyroid-home-blood-test,https://www.myglobalhealth.online/product-page/thyroid-home-blood-test,,,,unknown,,,legacy_export,unknown,unknown,no,,,
U003282,,https://www.myglobalhealth.online/product-page/vitamin-b12-blood-test,https://www.myglobalhealth.online/product-page/vitamin-b12-blood-test,,,,unknown,,,legacy_export|redirect_source,redirect_source,redirect,no,,,redirect rule #177 -> /ireland/en/lab-tests/vitamin-b12-test (permanent=True)
U003284,,https://www.myglobalhealth.online/product-page/vitamin-d-blood-test,https://www.myglobalhealth.online/product-page/vitamin-d-blood-test,,,,unknown,,,legacy_export|redirect_source,redirect_source,redirect,no,,,redirect rule #175 -> /ireland/en/lab-tests/vitamin-d-test (permanent=True)
U003286,,https://www.myglobalhealth.online/pt/about,https://www.myglobalhealth.online/pt/about,,,,unknown,,,redirect_source,redirect_source,redirect,no,,,redirect rule #408 -> /ireland/en/about (permanent=True)
U003287,,/pt/czechia-doctors/mudr-jana-cyplinska,https://www.myglobalhealth.online/pt/czechia-doctors/mudr-jana-cyplinska,,,,unknown,,,legacy_export,unknown,unknown,no,,,
U003290,,/pt/czechia-doctors/mudr-michael-nytra,https://www.myglobalhealth.online/pt/czechia-doctors/mudr-michael-nytra,,,,unknown,,,legacy_export,unknown,unknown,no,,,
U003292,,/pt/czechia-doctors/mudr-romana-pavlu,https://www.myglobalhealth.online/pt/czechia-doctors/mudr-romana-pavlu,,,,unknown,,,legacy_export,unknown,unknown,no,,,
U003297,,/pt/czechia-doctors/mudr-vojt%C4%9Bch-%C4%8Dern%C3%BD,https://www.myglobalhealth.online/pt/czechia-doctors/mudr-vojt%C4%9Bch-%C4%8Dern%C3%BD,,,,unknown,,,legacy_export,unknown,unknown,no,,,
U003298,,https://www.myglobalhealth.online/pt/general-consultation-sp,https://www.myglobalhealth.online/pt/general-consultation-sp,,,,unknown,,,redirect_source,redirect_source,redirect,no,,,redirect rule #526 -> /spain/es/gp-consultation-online (permanent=True)
U003299,,https://www.myglobalhealth.online/pt/gift-card,https://www.myglobalhealth.online/pt/gift-card,,,,unknown,,,retired,retired,gone,no,,,Wix alias/placeholder — see gone-content.ts
U003300,,/pt/ireland-doctors/dr-ahmed-maklad,https://www.myglobalhealth.online/pt/ireland-doctors/dr-ahmed-maklad,,,,unknown,,,legacy_export,unknown,unknown,no,,,
U003302,,/pt/ireland-doctors/dr-fatima-ali,https://www.myglobalhealth.online/pt/ireland-doctors/dr-fatima-ali,,,,unknown,,,legacy_export,unknown,unknown,no,,,
U003304,,https://www.myglobalhealth.online/pt/ireland-doctors/dr-grainne-ahern,https://www.myglobalhealth.online/pt/ireland-doctors/dr-grainne-ahern,,,,unknown,,,retired,retired,gone,no,,,"departed clinician: 74 clicks / 600 impressions over 90 days across 4 URL variants, average position 3.8 (measured 2026-08-08)"
U003305,,/pt/ireland-doctors/dr-julieta-janik,https://www.myglobalhealth.online/pt/ireland-doctors/dr-julieta-janik,,,,unknown,,,legacy_export,unknown,unknown,no,,,
U003310,,/pt/ireland-doctors/dr-khoiamul-islam,https://www.myglobalhealth.online/pt/ireland-doctors/dr-khoiamul-islam,,,,unknown,,,legacy_export,unknown,unknown,no,,,
U003311,,https://www.myglobalhealth.online/pt/ireland-doctors/dr-mala-vili-rajan,https://www.myglobalhealth.online/pt/ireland-doctors/dr-mala-vili-rajan,,,,unknown,,,retired,retired,gone,no,,,departed clinician: 0 clicks / 61 impressions over 90 days (measured 2026-08-08)
U003312,,/pt/ireland-doctors/dr-maristela-ferro-nepomuceno,https://www.myglobalhealth.online/pt/ireland-doctors/dr-maristela-ferro-nepomuceno,,,,unknown,,,legacy_export,unknown,unknown,no,,,
U003314,,/pt/ireland-doctors/dr-mohammed-omar,https://www.myglobalhealth.online/pt/ireland-doctors/dr-mohammed-omar,,,,unknown,,,legacy_export,unknown,unknown,no,,,
U003317,,/pt/ireland-doctors/dr-tiago-miguel-figueira,https://www.myglobalhealth.online/pt/ireland-doctors/dr-tiago-miguel-figueira,,,,unknown,,,legacy_export,unknown,unknown,no,,,
U003323,,/pt/ireland-doctors/dr-yousif-mohamed,https://www.myglobalhealth.online/pt/ireland-doctors/dr-yousif-mohamed,,,,unknown,,,legacy_export,unknown,unknown,no,,,
