query,competing_urls,impressions_W1,clicks_W1,top_url,top_url_market,top_url_locale,top_url_section,best_position,cannibalisation_type,markets_involved,locales_involved,url_detail
atestado médico para carta de condução,2,51,0,https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao,Portugal,pt,services,36.9,no,Portugal,pt,https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao [37i/0c/p44] ;; https://www.myglobalhealth.online/portugal/pt/blog/atestado-medico-para-carta-de-conducao [14i/0c/p37]
atestado medico para carta de condução,2,51,0,https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao,Portugal,pt,services,35.9,no,Portugal,pt,https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao [37i/0c/p46] ;; https://www.myglobalhealth.online/portugal/pt/blog/atestado-medico-para-carta-de-conducao [14i/0c/p36]
site:www.myglobalhealth.online,30,50,0,https://www.myglobalhealth.online,,,legacy_or_global,1.0,cross_market+wrong_locale,Brazil|Czechia|Ireland|Portugal|Romania|Spain,cs|de|en|es|pt|ro,https://www.myglobalhealth.online [2i/0c/p1] ;; https://www.myglobalhealth.online/brazil/en [2i/0c/p25] ;; https://www.myglobalhealth.online/brazil/es [2i/0c/p8] ;; https://www.myglobalhealth.online/czechia/cs [2i/0c/p22] ;; https://www.myglobalhealth.online/czechia/cs/careers [2i/0c/p27] ;; https://www.myglobalhealth.online/czechia/es [2i/0c/p10]
doctor online,5,49,0,https://www.myglobalhealth.online/spain/es,Spain,es,market_home,2.0,cross_market+wrong_locale,Czechia|Portugal|Romania|Spain,cs|en|es|pt|ro,https://www.myglobalhealth.online/spain/es [23i/0c/p22] ;; https://www.myglobalhealth.online/portugal/pt [10i/0c/p26] ;; https://www.myglobalhealth.online/romania/ro [9i/0c/p18] ;; https://www.myglobalhealth.online/romania/en [6i/0c/p17] ;; https://www.myglobalhealth.online/czechia/cs/blog/lekar-online-24-7-co-vyresi [1i/0c/p2]
consulta médica online,3,48,0,https://www.myglobalhealth.online/spain/es,Spain,es,market_home,37.7,cross_market+wrong_locale,Portugal|Spain,es|pt,https://www.myglobalhealth.online/spain/es [27i/0c/p38] ;; https://www.myglobalhealth.online/portugal/pt [15i/0c/p60] ;; https://www.myglobalhealth.online/portugal/es/services/consulta-medica [6i/0c/p89]
online lab test consultations,6,48,0,https://www.myglobalhealth.online/ireland/en/lab-tests,Ireland,en,lab-tests,25.8,no,Ireland,en,https://www.myglobalhealth.online/ireland/en/lab-tests [17i/0c/p40] ;; https://www.myglobalhealth.online/ireland/en/services/referral-and-investigations [15i/0c/p26] ;; https://www.myglobalhealth.online/ireland/en/see-a-specialist [8i/0c/p88] ;; https://www.myglobalhealth.online/ireland/self-referral [4i/0c/p75] ;; https://www.myglobalhealth.online/ireland/en/book [3i/0c/p57] ;; https://www.myglobalhealth.online/ireland/en/gp-consultation-online [1i/0c/p96]
global health services provider,2,47,0,https://www.myglobalhealth.online,,,legacy_or_global,20.9,no,legacy/global,,https://www.myglobalhealth.online [37i/0c/p48] ;; https://www.myglobalhealth.online/about [10i/0c/p21]
calculator deficit caloric femei,2,47,2,https://www.myglobalhealth.online/romania/ro/tools/calorie-calculator,Romania,ro,tools,8.4,cross_market+wrong_locale,Romania|Spain,ro,https://www.myglobalhealth.online/romania/ro/tools/calorie-calculator [43i/2c/p8] ;; https://www.myglobalhealth.online/spain/ro/tools/calorie-calculator [4i/0c/p21]
tomas ruiz palacios psicologo,3,47,12,https://www.myglobalhealth.online/spain/es/doctors/dr-tomas-ruiz-palacios,Spain,es,doctors,1.0,wrong_locale,Spain,cs|es,https://www.myglobalhealth.online/spain/es/doctors/dr-tomas-ruiz-palacios [23i/10c/p1] ;; https://www.myglobalhealth.online/spain/cs/doctors/dr-tomas-ruiz-palacios [12i/1c/p10] ;; https://www.myglobalhealth.online/spain/es/see-a-specialist [12i/1c/p4]
adult adhd assessment,2,47,0,https://www.myglobalhealth.online/ireland/en/tools/adhd-test,Ireland,en,tools,38.9,no,Ireland,en,https://www.myglobalhealth.online/ireland/en/tools/adhd-test [32i/0c/p72] ;; https://www.myglobalhealth.online/ireland/en/blog/adult-adhd-assessment-ireland-public-private-routes [15i/0c/p39]
