date,page,searcher_country,device,search_type,clicks,impressions,ctr,avg_position,row_key,refresh_id,data_state,source_timezone,data_quality,source
2026-07-21,https://www.myglobalhealth.online/czechia/pt/services/cestovni-medicina-praha,prt,DESKTOP,web,0,3,0,51.333333333333336,2026-07-21|https://www.myglobalhealth.online/czechia/pt/services/cestovni-medicina-praha|prt|DESKTOP|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/czechia/pt/services/dusevni-zdravi-online,prt,DESKTOP,web,0,1,0,78,2026-07-21|https://www.myglobalhealth.online/czechia/pt/services/dusevni-zdravi-online|prt|DESKTOP|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/czechia/pt/services/zenske-zdravi-online,vnm,DESKTOP,web,0,1,0,42,2026-07-21|https://www.myglobalhealth.online/czechia/pt/services/zenske-zdravi-online|vnm|DESKTOP|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/es/home-cz,deu,MOBILE,web,0,1,0,11,2026-07-21|https://www.myglobalhealth.online/es/home-cz|deu|MOBILE|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/es/home-pt,esp,MOBILE,web,0,1,0,6,2026-07-21|https://www.myglobalhealth.online/es/home-pt|esp|MOBILE|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/es/ireland-doctors/physiotherapeut-priscila-figueiredo,esp,MOBILE,web,0,1,0,9,2026-07-21|https://www.myglobalhealth.online/es/ireland-doctors/physiotherapeut-priscila-figueiredo|esp|MOBILE|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/frequent-asked-questions,esp,MOBILE,web,0,1,0,9,2026-07-21|https://www.myglobalhealth.online/frequent-asked-questions|esp|MOBILE|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/home,aut,DESKTOP,web,1,1,1,3,2026-07-21|https://www.myglobalhealth.online/home|aut|DESKTOP|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/home,irl,MOBILE,web,0,1,0,3,2026-07-21|https://www.myglobalhealth.online/home|irl|MOBILE|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/home-cz,cze,MOBILE,web,0,1,0,10,2026-07-21|https://www.myglobalhealth.online/home-cz|cze|MOBILE|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/home-cz,svk,MOBILE,web,0,1,0,6,2026-07-21|https://www.myglobalhealth.online/home-cz|svk|MOBILE|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/home-delivery,vnm,DESKTOP,web,0,1,0,38,2026-07-21|https://www.myglobalhealth.online/home-delivery|vnm|DESKTOP|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/home-pt,fra,DESKTOP,web,0,1,0,6,2026-07-21|https://www.myglobalhealth.online/home-pt|fra|DESKTOP|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/ireland-doctors/dr-ahmed-maklad,are,DESKTOP,web,0,2,0,3,2026-07-21|https://www.myglobalhealth.online/ireland-doctors/dr-ahmed-maklad|are|DESKTOP|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/ireland-doctors/dr-fahad-farooq,irl,DESKTOP,web,0,1,0,5,2026-07-21|https://www.myglobalhealth.online/ireland-doctors/dr-fahad-farooq|irl|DESKTOP|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/ireland-doctors/dr-fahad-farooq,irl,MOBILE,web,0,1,0,8,2026-07-21|https://www.myglobalhealth.online/ireland-doctors/dr-fahad-farooq|irl|MOBILE|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/ireland-doctors/dr-fatima-ali,pak,DESKTOP,web,0,1,0,7,2026-07-21|https://www.myglobalhealth.online/ireland-doctors/dr-fatima-ali|pak|DESKTOP|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/ireland-doctors/dr-grainne-ahern,irl,MOBILE,web,0,3,0,5.333333333333333,2026-07-21|https://www.myglobalhealth.online/ireland-doctors/dr-grainne-ahern|irl|MOBILE|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/ireland-doctors/dr-grainne-ahern,irl,TABLET,web,0,1,0,6,2026-07-21|https://www.myglobalhealth.online/ireland-doctors/dr-grainne-ahern|irl|TABLET|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/ireland-doctors/dr-grainne-ahern,nor,DESKTOP,web,0,1,0,6,2026-07-21|https://www.myglobalhealth.online/ireland-doctors/dr-grainne-ahern|nor|DESKTOP|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/ireland-doctors/dr-mohammed-omar,irl,DESKTOP,web,0,1,0,4,2026-07-21|https://www.myglobalhealth.online/ireland-doctors/dr-mohammed-omar|irl|DESKTOP|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/ireland-doctors/dr-yousif-mohamed,aus,MOBILE,web,0,1,0,8,2026-07-21|https://www.myglobalhealth.online/ireland-doctors/dr-yousif-mohamed|aus|MOBILE|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/ireland-specialist-consultations/psychiatry-consultation,gbr,DESKTOP,web,0,2,0,16,2026-07-21|https://www.myglobalhealth.online/ireland-specialist-consultations/psychiatry-consultation|gbr|DESKTOP|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/ireland/cs/gp-consultation-online,cze,DESKTOP,web,0,3,0,11,2026-07-21|https://www.myglobalhealth.online/ireland/cs/gp-consultation-online|cze|DESKTOP|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/ireland/de/doctors/dr-abdelrahman-mustafa,deu,MOBILE,web,0,1,0,8,2026-07-21|https://www.myglobalhealth.online/ireland/de/doctors/dr-abdelrahman-mustafa|deu|MOBILE|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
