observed_at,source_domain,source_url,target_url,anchor,rel_attribute,link_status,first_seen,last_seen,provider,provider_metric_name,provider_metric_value,target_country,relevance,opportunity,evidence,resolved_target_url,resolved_http_status,rel_attributes_raw
2026-09-15,wix.to,https://wix.to/b5BzzCH,https://www.myglobalhealth.online/booking-calendar/consulta-de-psiquiatr%25C3%25ADa?utm_medium=page_links,,dofollow,live,2025-04-21,,DataForSEO via OpenSEO,domain_rank|spam_score,70|0,ireland,directory,update-legacy-target,seo/tracking/raw/2026-09-15/A7-market/backlinks-profile-as_is-page1.json,https://www.myglobalhealth.online/ireland/en/book?utm_medium=page_links,200,
2026-09-15,wix.to,https://wix.to/S1E8iUy,https://www.myglobalhealth.online/booking-calendar/consulta-ortop%25C3%25A9dica-1?utm_medium=page_links,,dofollow,live,2025-04-21,,DataForSEO via OpenSEO,domain_rank|spam_score,70|0,ireland,directory,update-legacy-target,seo/tracking/raw/2026-09-15/A7-market/backlinks-profile-as_is-page1.json,https://www.myglobalhealth.online/ireland/en/book?utm_medium=page_links,200,
2026-09-15,wix.to,https://wix.to/V1aLPyM,https://www.myglobalhealth.online/booking-calendar/consulta-de-urolog%25C3%25ADa?utm_medium=page_links,,dofollow,live,2025-04-21,,DataForSEO via OpenSEO,domain_rank|spam_score,70|0,ireland,directory,update-legacy-target,seo/tracking/raw/2026-09-15/A7-market/backlinks-profile-as_is-page1.json,https://www.myglobalhealth.online/ireland/en/book?utm_medium=page_links,200,
2026-09-15,wix.to,https://wix.to/2iKarOX,https://www.myglobalhealth.online/booking-calendar/consulta-de-reumatolog%25C3%25ADa?utm_medium=page_links,,dofollow,live,2025-04-21,,DataForSEO via OpenSEO,domain_rank|spam_score,70|0,ireland,directory,update-legacy-target,seo/tracking/raw/2026-09-15/A7-market/backlinks-profile-as_is-page1.json,https://www.myglobalhealth.online/ireland/en/book?utm_medium=page_links,200,
2026-09-15,wix.to,https://wix.to/55Qi8fM,https://www.myglobalhealth.online/booking-calendar/consulta-de-gen%25C3%25A9tica-1?utm_medium=page_links,,dofollow,live,2025-04-21,,DataForSEO via OpenSEO,domain_rank|spam_score,70|0,ireland,directory,update-legacy-target,seo/tracking/raw/2026-09-15/A7-market/backlinks-profile-as_is-page1.json,https://www.myglobalhealth.online/ireland/en/book?utm_medium=page_links,200,
2026-09-15,wix.to,https://wix.to/TSih5SO,https://www.myglobalhealth.online/booking-calendar/consulta-de-inmunoalergolog%25C3%25ADa?utm_medium=page_links,,dofollow,live,2025-04-21,,DataForSEO via OpenSEO,domain_rank|spam_score,70|0,ireland,directory,update-legacy-target,seo/tracking/raw/2026-09-15/A7-market/backlinks-profile-as_is-page1.json,https://www.myglobalhealth.online/ireland/en/book?utm_medium=page_links,200,
2026-09-15,wix.to,https://wix.to/4fUXeLB,https://www.myglobalhealth.online/booking-calendar/consulta-de-neurolog%25C3%25ADa?utm_medium=page_links,,dofollow,live,2025-04-21,,DataForSEO via OpenSEO,domain_rank|spam_score,70|0,ireland,directory,update-legacy-target,seo/tracking/raw/2026-09-15/A7-market/backlinks-profile-as_is-page1.json,https://www.myglobalhealth.online/ireland/en/book?utm_medium=page_links,200,
2026-09-15,wix.to,https://wix.to/cRKft3g,https://www.myglobalhealth.online/booking-calendar/consulta-con-dietista?utm_medium=page_links,,dofollow,live,2025-04-21,,DataForSEO via OpenSEO,domain_rank|spam_score,70|0,spain,directory,update-legacy-target,seo/tracking/raw/2026-09-15/A7-market/backlinks-profile-as_is-page1.json,https://www.myglobalhealth.online/spain/es/book?utm_medium=page_links,200,
2026-09-15,wix.to,https://wix.to/k4mXz44,https://www.myglobalhealth.online/booking-calendar/consulta-pedi%25C3%25A1trica-1?utm_medium=page_links,,dofollow,live,2025-04-21,,DataForSEO via OpenSEO,domain_rank|spam_score,70|0,ireland,directory,update-legacy-target,seo/tracking/raw/2026-09-15/A7-market/backlinks-profile-as_is-page1.json,https://www.myglobalhealth.online/ireland/en/book?utm_medium=page_links,200,
2026-09-15,wix.to,https://wix.to/Wbs8wkg,https://www.myglobalhealth.online/booking-calendar/consulta-de-cardiolog%25C3%25ADa?utm_medium=page_links,,dofollow,live,2025-04-21,,DataForSEO via OpenSEO,domain_rank|spam_score,70|0,ireland,directory,update-legacy-target,seo/tracking/raw/2026-09-15/A7-market/backlinks-profile-as_is-page1.json,https://www.myglobalhealth.online/ireland/en/book?utm_medium=page_links,200,
2026-09-15,wix.to,https://wix.to/fHEEpum,https://www.myglobalhealth.online/booking-calendar/consulta-de-neumolog%25C3%25ADa?utm_medium=page_links,,dofollow,live,2025-04-21,,DataForSEO via OpenSEO,domain_rank|spam_score,70|0,ireland,directory,update-legacy-target,seo/tracking/raw/2026-09-15/A7-market/backlinks-profile-as_is-page1.json,https://www.myglobalhealth.online/ireland/en/book?utm_medium=page_links,200,
2026-09-15,wix.to,https://wix.to/q1vI2RF,https://www.myglobalhealth.online/booking-calendar/konzultace-pro-erektiln%25C3%25AD-dysfunkci?utm_medium=page_links,,dofollow,live,2025-04-21,,DataForSEO via OpenSEO,domain_rank|spam_score,70|0,czechia,directory,update-legacy-target,seo/tracking/raw/2026-09-15/A7-market/backlinks-profile-as_is-page1.json,https://www.myglobalhealth.online/czechia/cs/book?utm_medium=page_links,200,
2026-09-15,wix.to,https://wix.to/HJitVA4,https://www.myglobalhealth.online/booking-calendar/pracovn%25C3%25AD-neschopnost?utm_medium=page_links,,dofollow,live,2025-04-21,,DataForSEO via OpenSEO,domain_rank|spam_score,70|0,ireland,directory,update-legacy-target,seo/tracking/raw/2026-09-15/A7-market/backlinks-profile-as_is-page1.json,https://www.myglobalhealth.online/ireland/en/book?utm_medium=page_links,200,
2026-09-15,wix.to,https://wix.to/2ysaBMC,https://www.myglobalhealth.online/booking-calendar/obnova-l%25C3%25A9%25C4%258Dby?utm_medium=page_links,,dofollow,live,2025-04-21,,DataForSEO via OpenSEO,domain_rank|spam_score,70|0,ireland,directory,update-legacy-target,seo/tracking/raw/2026-09-15/A7-market/backlinks-profile-as_is-page1.json,https://www.myglobalhealth.online/ireland/en/book?utm_medium=page_links,200,
2026-09-15,wix.to,https://wix.to/AVdxdqm,https://www.myglobalhealth.online/booking-calendar/konzultace-pro-hubnut%25C3%25AD?utm_medium=page_links,,dofollow,live,2025-04-21,,DataForSEO via OpenSEO,domain_rank|spam_score,70|0,czechia,directory,update-legacy-target,seo/tracking/raw/2026-09-15/A7-market/backlinks-profile-as_is-page1.json,https://www.myglobalhealth.online/czechia/cs/book?utm_medium=page_links,200,
2026-09-15,wix.to,https://wix.to/OMFRCTx,https://www.myglobalhealth.online/booking-calendar/konzultace-pro-diabetes?utm_medium=page_links,,dofollow,live,2025-04-21,,DataForSEO via OpenSEO,domain_rank|spam_score,70|0,czechia,directory,keep,seo/tracking/raw/2026-09-15/A7-market/backlinks-profile-as_is-page1.json,https://www.myglobalhealth.online/czechia/cs/services/chronicka-onemocneni?utm_medium=page_links,200,
