url,locale,page_type,in_sitemap,gsc_clicks,gsc_impressions,gsc_ctr,gsc_position,inspection_verdict,coverage_state,last_crawl,google_canonical,user_canonical,page_fetch_state,notes
https://www.myglobalhealth.online/czechia/en/services/zenske-zdravi-online,en,service,yes,2,13,0.15384615384615385,5.230769230769231,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/en/tools/adhd-test,en,tool,yes,0,8,0,68.375,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/en/tools/blood-pressure-chart,en,tool,yes,1,50,0.02,6.6,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/en/tools/bmi-calculator,en,tool,yes,1,26,0.038461538461538464,31.846153846153847,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/en/tools/calorie-calculator,en,tool,yes,0,3,0,16.333333333333336,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/en/tools/due-date-calculator,en,tool,yes,0,1,0,12,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/en/tools/osteoporosis-risk-checker,en,tool,yes,0,52,0,68.53846153846153,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/en/tools/ovulation-calculator,en,tool,yes,0,3,0,48.666666666666664,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/es,es,home,yes,0,40,0,36.575,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/es/about,es,standalone,yes,0,3,0,32.66666666666667,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/es/blog,es,blog-hub,yes,0,3,0,24.333333333333332,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/es/blog/calculo-de-la-baja-medica-en-chequia-2026-empleador-vs-cssz,es,blog-post,yes,,,,,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/es/blog/diabetes-la-enfermedad-silenciosa-2,es,blog-post,yes,,,,,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/es/blog/medico-online-chequia-que-resuelve,es,blog-post,yes,0,1,0,5,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/es/blog/neschopenka-baja-medica-en-chequia,es,blog-post,yes,0,5,0,5.8,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/es/book,es,standalone,yes,,,,,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/es/careers,es,standalone,yes,,,,,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/es/contact,es,standalone,yes,1,3,0.3333333333333333,6.666666666666667,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/es/doctors,es,doctor-directory,yes,0,5,0,8,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/es/doctors/dr-ahmed-maklad,es,doctor-profile,yes,,,,,,,,,,,URL Inspection not sampled
