"domain","url","title","ranking_keyword_count","best_position","estimated_traffic","keyword_search_volume_sum","top_keywords","source","collected_at"
"cuf.pt","https://www.cuf.pt/mais-saude/diospiro-saiba-por-que-e-bom-comer-este-fruto","Dióspiro: saiba por que é bom comer este fruto","1","3","3678.4","12100","diospiro","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"cuf.pt","https://www.cuf.pt/saude-a-z/eczema","Eczema: o que é, sintomas e tratamento","1","2","3678.4","12100","eczemas","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"cuf.pt","https://www.cuf.pt/mais-saude/linfoma-e-agora","Linfoma: e agora?","1","2","3678.4","12100","linfoma","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"cuf.pt","https://www.cuf.pt/mais-saude/conhece-os-beneficios-da-quinoa","Conhece os benefícios da quinoa?","1","4","3678.4","12100","quinoa quinoa","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"cuf.pt","https://www.cuf.pt/saude-a-z/tercolho","Terçolho: o que é, sintomas e tratamento","1","2","3678.4","12100","terçolho","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"medis.pt","https://www.medis.pt/seguros-de-saude/saude-medis/","Seguro de Saúde Médis: proteção para toda a família","4","1","3598.14","12700","medis seguro de saude | seguro saúde médis | medis seguro saude | seguro médis","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"cuf.pt","https://www.cuf.pt/mais-saude/em-que-casos-pode-ser-necessario-tomar-magnesio","Em que casos pode ser necessário tomar magnésio?","1","4","3596.4","22200","magnesio","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"cuf.pt","https://www.cuf.pt/mais-saude/como-manter-niveis-adequados-de-vitamina-d","Como manter níveis adequados de vitamina D","1","4","3596.4","22200","vitamina d","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"lusiadas.pt","https://www.lusiadas.pt/hospitais-clinicas/hospital-lusiadas-albufeira","Hospital Lusíadas Albufeira","2","1","3556.8","11700","hospital lusíadas albufeira | lusiadas albufeira","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"lusiadas.pt","https://www.lusiadas.pt/blog/prevencao-estilo-vida/saude-familia/7-ideias-para-um-lanche-saudavel","7 ideias para um lanche saudável","4","1","3526.4","11600","lanche saudaveis | lanche saudáveis | lanches saudaveis | lanches saudáveis","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"hospitaldaluz.pt","https://www.hospitaldaluz.pt/pt/comunicacao/noticias/ja-abriu-hospital-luz-clinica-vila-franca-xira","Já abriu o Hospital da Luz Clínica Vila Franca de Xira","2","3","3522.26","36200","hospital de vila franca de xira | hospital vila franca de xira","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"hospitaldaluz.pt","https://www.hospitaldaluz.pt/pt/saude-e-bem-estar/que-e-caibra-como-aliviar-dor","O que é uma cãibra e como aliviar a dor?","2","2","3283.2","10800","caibrãs | cãibra","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"hospitaldaluz.pt","https://www.hospitaldaluz.pt/odivelas/pt/","Hospital da Luz Clínica de Odivelas","2","1","3283.2","10800","hospital da luz clinica de odivelas | hospital da luz clínica de odivelas","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"hospitaldaluz.pt","https://www.hospitaldaluz.pt/pt/dicionario-de-saude/infecao-virus-nipah","Infeção pelo vírus Nipah","2","1","3283.2","10800","virus nipah | vírus nipah","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"hospitaldaluz.pt","https://www.hospitaldaluz.pt/pt/sobre/contactos-hospitais-e-clinicas","Contactos dos hospitais e clínicas - Lisboa","3","5","3283.2","10800","contactos do hospital da luz | hospital da luz contacto | hospital da luz contactos","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"hospitaldaluz.pt","https://www.hospitaldaluz.pt/pt/dicionario-de-saude/tipos-sangue-caracteristicas-regras","Tipos de sangue: características e regras","3","2","3283.2","10800","tipo de sangue | tipo.de sangue | tipos de sangue","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"medis.pt","https://www.medis.pt/informacao-util/contactos/","Contactos Médis: fale connosco sempre que precisar de nós","2","1","3283.2","10800","medis contactos | médis contactos","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"dronline.pt","https://dronline.pt/atestados-medicos/","Atestados Médicos","9","1","3236.93","11360","atestado medico | atestado médico | atestados medicos | atestado médico portugal | atestado | atestado.medico online | atestado médico portugal | atestado medico online | pedir atestado médico online sns","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"cuf.pt","https://www.cuf.pt/saude-a-z/alzheimer","Alzheimer: o que é, sintomas e tratamento","1","2","3009.6","9900","alzheimer","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"cuf.pt","https://www.cuf.pt/saude-a-z/amigdalite","Amigdalite: o que é, sintomas e tratamento","1","2","3009.6","9900","amigdalite","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"cuf.pt","https://www.cuf.pt/mais-saude/stress-cronico-sindrome-de-burnout","Stress crónico: síndrome de burnout","1","2","3009.6","9900","burnout","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
