"url","locale","resolved_locale","kind","service","bookability","reason","next_available_at","doctors","consultation_languages","price_cents","duration","registry_issue","source"
"https://www.myglobalhealth.online/spain/es/services/consulta-diagnotico-vascular","es","ES","SPECIALIST","consulta-diagnotico-vascular","BOOKABLE","","2026-09-14T12:44:00.000Z","Dr. Leandro Wang","Dr. Leandro Wang: Spanish","17000","30","","raw/api/services-consulta-diagnotico-vascular-ES.json"
"https://www.myglobalhealth.online/spain/es/services/consulta-flebologia-y-linfologia","es","ES","SPECIALIST","consulta-flebologia-y-linfologia","BOOKABLE","","2026-09-14T12:44:00.000Z","Dr. Leandro Wang","Dr. Leandro Wang: Spanish","15000","30","","raw/api/services-consulta-flebologia-y-linfologia-ES.json"
"https://www.myglobalhealth.online/spain/es/services/consulta-medica-online","es","ES","GENERAL","consulta-medica-online","BOOKABLE","","2026-09-13T06:19:00.000Z","Dra. Eszter Szilágyi | Dra. Luz Marina Zuluaga Ríos | Dra. María Fernanda Ocampo Mora | Dr. Eduardo Daniel Rodríguez Olivas | Dr. Rómulo Andrés Brito González | Dr. Syed Tahir","Dra. Eszter Szilágyi: Spanish, English, Hungarian, German | Dra. Luz Marina Zuluaga Ríos: Spanish | Dra. María Fernanda Ocampo Mora: Spanish | Dr. Eduardo Daniel Rodríguez Olivas: Spanish, English | Dr. Rómulo Andrés Brito González: Spanish | Dr. Syed Tahir: Spanish, English, Hindi, Urdu, Dutch","3900","15","Luz: CGCOM alta sin ejercicio; operations clarification required","raw/api/services-consulta-medica-online-ES.json"
"https://www.myglobalhealth.online/spain/es/services/consulta-online-medicina-estetica","es","ES","GENERAL","consulta-online-medicina-estetica","BOOKABLE","","2026-09-13T06:23:00.000Z","Dra. María Fernanda Ocampo Mora","Dra. María Fernanda Ocampo Mora: Spanish","7500","30","","raw/api/services-consulta-online-medicina-estetica-ES.json"
"https://www.myglobalhealth.online/spain/es/services/consulta-piel-online","es","ES","GENERAL","consulta-piel-online","BOOKABLE","","2026-09-13T06:19:00.000Z","Dra. Luz Marina Zuluaga Ríos | Dra. María Fernanda Ocampo Mora | Dr. Eduardo Daniel Rodríguez Olivas | Dr. Rómulo Andrés Brito González | Dr. Syed Tahir","Dra. Luz Marina Zuluaga Ríos: Spanish | Dra. María Fernanda Ocampo Mora: Spanish | Dr. Eduardo Daniel Rodríguez Olivas: Spanish, English | Dr. Rómulo Andrés Brito González: Spanish | Dr. Syed Tahir: Spanish, English, Hindi, Urdu, Dutch","4500","15","Luz: CGCOM alta sin ejercicio; operations clarification required","raw/api/services-consulta-piel-online-ES.json"
"https://www.myglobalhealth.online/spain/es/services/consulta-salud-vascular-circulatoria","es","ES","GENERAL","consulta-salud-vascular-circulatoria","BOOKABLE","","2026-09-13T12:08:00.000Z","Dra. Eszter Szilágyi","Dra. Eszter Szilágyi: Spanish, English, Hungarian, German","7500","20","","raw/api/services-consulta-salud-vascular-circulatoria-ES.json"
"https://www.myglobalhealth.online/spain/es/services/control-peso-online","es","ES","GENERAL","control-peso-online","BOOKABLE","","2026-09-13T06:19:00.000Z","Dra. Eszter Szilágyi | Dra. Luz Marina Zuluaga Ríos | Dra. María Fernanda Ocampo Mora | Dr. Eduardo Daniel Rodríguez Olivas | Dr. Rómulo Andrés Brito González | Dr. Syed Tahir","Dra. Eszter Szilágyi: Spanish, English, Hungarian, German | Dra. Luz Marina Zuluaga Ríos: Spanish | Dra. María Fernanda Ocampo Mora: Spanish | Dr. Eduardo Daniel Rodríguez Olivas: Spanish, English | Dr. Rómulo Andrés Brito González: Spanish | Dr. Syed Tahir: Spanish, English, Hindi, Urdu, Dutch","4500","15","Luz: CGCOM alta sin ejercicio; operations clarification required","raw/api/services-control-peso-online-ES.json"
"https://www.myglobalhealth.online/spain/es/services/dejar-de-fumar-online","es","ES","GENERAL","dejar-de-fumar-online","BOOKABLE","","2026-09-13T06:19:00.000Z","Dra. Luz Marina Zuluaga Ríos | Dra. María Fernanda Ocampo Mora | Dr. Eduardo Daniel Rodríguez Olivas | Dr. Rómulo Andrés Brito González | Dr. Syed Tahir","Dra. Luz Marina Zuluaga Ríos: Spanish | Dra. María Fernanda Ocampo Mora: Spanish | Dr. Eduardo Daniel Rodríguez Olivas: Spanish, English | Dr. Rómulo Andrés Brito González: Spanish | Dr. Syed Tahir: Spanish, English, Hindi, Urdu, Dutch","3900","15","Luz: CGCOM alta sin ejercicio; operations clarification required","raw/api/services-dejar-de-fumar-online-ES.json"
"https://www.myglobalhealth.online/spain/es/services/derivaciones-pruebas-online","es","ES","GENERAL","derivaciones-pruebas-online","BOOKABLE","","2026-09-13T06:19:00.000Z","Dra. Luz Marina Zuluaga Ríos | Dra. María Fernanda Ocampo Mora | Dr. Eduardo Daniel Rodríguez Olivas | Dr. Rómulo Andrés Brito González | Dr. Syed Tahir","Dra. Luz Marina Zuluaga Ríos: Spanish | Dra. María Fernanda Ocampo Mora: Spanish | Dr. Eduardo Daniel Rodríguez Olivas: Spanish, English | Dr. Rómulo Andrés Brito González: Spanish | Dr. Syed Tahir: Spanish, English, Hindi, Urdu, Dutch","3500","15","Luz: CGCOM alta sin ejercicio; operations clarification required","raw/api/services-derivaciones-pruebas-online-ES.json"
"https://www.myglobalhealth.online/spain/es/services/dermatologia-especialista-online","es","ES","SPECIALIST","dermatologia-especialista-online","BOOKABLE","","2026-09-14T08:14:00.000Z","Dr. Alfredo del Valle Moreno Montañez","Dr. Alfredo del Valle Moreno Montañez: Spanish, English","7000","15","","raw/api/services-dermatologia-especialista-online-ES.json"
