rule_order_index,source,destination,permanent,statusCode,has,missing,locale
46,/czechia/:lang/services/chronic-disease-management,/czechia/:lang/services/chronicka-onemocneni,True,,,,
47,/czechia/:lang/consult/chronic-disease-management,/czechia/:lang/services/chronicka-onemocneni,True,,,,
48,/czechia/:lang/services/hair-loss-online,/czechia/:lang/services/vypadavani-vlasu-online,True,,,,
49,/czechia/:lang/consult/hair-loss-online,/czechia/:lang/services/vypadavani-vlasu-online,True,,,,
50,/czechia/:lang/services/mens-health-online,/czechia/:lang/services/muzske-zdravi-online,True,,,,
51,/czechia/:lang/consult/mens-health-online,/czechia/:lang/services/muzske-zdravi-online,True,,,,
52,/czechia/:lang/services/mental-health-online,/czechia/:lang/services/dusevni-zdravi-online,True,,,,
53,/czechia/:lang/consult/mental-health-online,/czechia/:lang/services/dusevni-zdravi-online,True,,,,
54,/czechia/:lang/services/musculoskeletal-pain,/czechia/:lang/services/bolesti-pohyboveho-aparatu,True,,,,
55,/czechia/:lang/consult/musculoskeletal-pain,/czechia/:lang/services/bolesti-pohyboveho-aparatu,True,,,,
56,/czechia/:lang/services/paediatric-gp-online,/czechia/:lang/services/detsky-lekar-online,True,,,,
57,/czechia/:lang/consult/paediatric-gp-online,/czechia/:lang/services/detsky-lekar-online,True,,,,
58,/czechia/:lang/services/prague-doctor-online,/czechia/:lang/services/lekar-online-praha,True,,,,
59,/czechia/:lang/consult/prague-doctor-online,/czechia/:lang/services/lekar-online-praha,True,,,,
60,/czechia/:lang/services/referrals-and-investigations,/czechia/:lang/services/doporuceni-a-vysetreni,True,,,,
61,/czechia/:lang/consult/referrals-and-investigations,/czechia/:lang/services/doporuceni-a-vysetreni,True,,,,
62,/czechia/:lang/services/second-opinion-prague,/czechia/:lang/services/druhy-nazor-praha,True,,,,
63,/czechia/:lang/consult/second-opinion-prague,/czechia/:lang/services/druhy-nazor-praha,True,,,,
64,/czechia/:lang/services/sick-note-czech-republic,/czechia/:lang/services/neschopenka-online,True,,,,
65,/czechia/:lang/consult/sick-note-czech-republic,/czechia/:lang/services/neschopenka-online,True,,,,
66,/czechia/:lang/services/skin-consultation-prague,/czechia/:lang/services/kozni-konzultace-praha,True,,,,
67,/czechia/:lang/consult/skin-consultation-prague,/czechia/:lang/services/kozni-konzultace-praha,True,,,,
68,/czechia/:lang/services/travel-health-prague,/czechia/:lang/services/cestovni-medicina-praha,True,,,,
69,/czechia/:lang/consult/travel-health-prague,/czechia/:lang/services/cestovni-medicina-praha,True,,,,
70,/czechia/:lang/services/treatment-renewal,/czechia/:lang/services/obnoveni-lecby,True,,,,
71,/czechia/:lang/consult/treatment-renewal,/czechia/:lang/services/obnoveni-lecby,True,,,,
72,/czechia/:lang/services/weight-management-online,/czechia/:lang/services/kontrola-vahy-online,True,,,,
73,/czechia/:lang/consult/weight-management-online,/czechia/:lang/services/kontrola-vahy-online,True,,,,
74,/czechia/:lang/services/womens-health-online,/czechia/:lang/services/zenske-zdravi-online,True,,,,
75,/czechia/:lang/consult/womens-health-online,/czechia/:lang/services/zenske-zdravi-online,True,,,,
76,/romania/:lang/services/chronic-disease-romania,/romania/:lang/services/boli-cronice-online,True,,,,
77,/romania/:lang/consult/chronic-disease-romania,/romania/:lang/services/boli-cronice-online,True,,,,
78,/romania/:lang/services/hair-loss-romania,/romania/:lang/services/caderea-parului-online,True,,,,
79,/romania/:lang/consult/hair-loss-romania,/romania/:lang/services/caderea-parului-online,True,,,,
80,/romania/:lang/services/mens-health-romania,/romania/:lang/services/sanatatea-barbatului-online,True,,,,
81,/romania/:lang/consult/mens-health-romania,/romania/:lang/services/sanatatea-barbatului-online,True,,,,
82,/romania/:lang/services/mental-health-romania,/romania/:lang/services/sanatate-mintala-online,True,,,,
83,/romania/:lang/consult/mental-health-romania,/romania/:lang/services/sanatate-mintala-online,True,,,,
84,/romania/:lang/services/musculoskeletal-pain-romania,/romania/:lang/services/dureri-musculo-scheletice,True,,,,
85,/romania/:lang/consult/musculoskeletal-pain-romania,/romania/:lang/services/dureri-musculo-scheletice,True,,,,
86,/romania/:lang/services/neurology-consultation-romania,/romania/:lang/services/consultatie-neurologie,True,,,,
87,/romania/:lang/consult/neurology-consultation-romania,/romania/:lang/services/consultatie-neurologie,True,,,,
88,/romania/:lang/services/online-doctor-romania,/romania/:lang/services/medic-online-romania,True,,,,
89,/romania/:lang/consult/online-doctor-romania,/romania/:lang/services/medic-online-romania,True,,,,
90,/romania/:lang/services/paediatric-gp-romania,/romania/:lang/services/medic-pediatru-online,True,,,,
91,/romania/:lang/consult/paediatric-gp-romania,/romania/:lang/services/medic-pediatru-online,True,,,,
92,/romania/:lang/services/referrals-and-investigations-romania,/romania/:lang/services/trimiteri-si-investigatii,True,,,,
93,/romania/:lang/consult/referrals-and-investigations-romania,/romania/:lang/services/trimiteri-si-investigatii,True,,,,
94,/romania/:lang/services/second-opinion-romania,/romania/:lang/services/a-doua-opinie-medicala,True,,,,
95,/romania/:lang/consult/second-opinion-romania,/romania/:lang/services/a-doua-opinie-medicala,True,,,,
96,/romania/:lang/services/skin-consultation-romania,/romania/:lang/services/consultatie-dermatologica,True,,,,
97,/romania/:lang/consult/skin-consultation-romania,/romania/:lang/services/consultatie-dermatologica,True,,,,
98,/romania/:lang/services/specialist-paediatrician-romania,/romania/:lang/services/consultatie-pediatrie,True,,,,
99,/romania/:lang/consult/specialist-paediatrician-romania,/romania/:lang/services/consultatie-pediatrie,True,,,,
100,/romania/:lang/services/specialist-pain-assessment-romania,/romania/:lang/services/evaluare-durere,True,,,,
101,/romania/:lang/consult/specialist-pain-assessment-romania,/romania/:lang/services/evaluare-durere,True,,,,
102,/romania/:lang/services/travel-health-romania,/romania/:lang/services/medicina-calatoriei,True,,,,
103,/romania/:lang/consult/travel-health-romania,/romania/:lang/services/medicina-calatoriei,True,,,,
104,/romania/:lang/services/treatment-renewal-romania,/romania/:lang/services/reinnoire-tratament,True,,,,
105,/romania/:lang/consult/treatment-renewal-romania,/romania/:lang/services/reinnoire-tratament,True,,,,
106,/romania/:lang/services/weight-management-romania,/romania/:lang/services/controlul-greutatii,True,,,,
107,/romania/:lang/consult/weight-management-romania,/romania/:lang/services/controlul-greutatii,True,,,,
108,/romania/:lang/services/womens-health-romania,/romania/:lang/services/sanatatea-femeii-online,True,,,,
109,/romania/:lang/consult/womens-health-romania,/romania/:lang/services/sanatatea-femeii-online,True,,,,
110,/ireland/:lang(en|pt|es|cs|ro|de)/health/international-students,/ireland/:lang/gp-consultation-online,True,,,,
111,/ireland/:lang(en|pt|es|cs|ro|de)/health/sick-cert-online,/ireland/:lang/services/sick-certificate-ireland,True,,,,
112,/portugal/:lang(en|pt|es|cs|ro|de)/health/atestado-medico-online,/portugal/:lang/services/baixa-medica,True,,,,
113,/:country/:lang(en|pt|es|cs|ro|de)/services,/:country/:lang,True,,,,
114,/:country/:lang(en|pt|es|cs|ro|de)/book-online,/:country/:lang/book,True,,,,
115,/:country/:lang(en|pt|es|cs|ro|de)/gp-appointment,/:country/:lang/gp-consultation-online,True,,,,
116,/:country/:lang(en|pt|es|cs|ro|de)/general-consultation,/:country/:lang/gp-consultation-online,True,,,,
117,/:country(ireland|portugal|spain|romania)/:lang(en|pt|es|cs|ro|de)/specialist-consultation,/:country/:lang/see-a-specialist,True,,,,
118,/:country/:lang(en|pt|es|cs|ro|de)/prescriptions,/:country/:lang/gp-consultation-online,True,,,,
119,/:country(ireland|romania)/:lang(en|pt|es|cs|ro|de)/tests,/:country/:lang/lab-tests,True,,,,
120,/:country/:lang(en|pt|es|cs|ro|de)/online-doctor-visit,/:country/:lang/gp-consultation-online,True,,,,
121,/:country(ireland|portugal|spain|romania)/:lang(en|pt|es|cs|ro|de)/specialist-appointment,/:country/:lang/see-a-specialist,True,,,,
122,/:country/:lang(en|pt|es|cs|ro|de)/repeat-prescription,/:country/:lang/gp-consultation-online,True,,,,
123,/:country(ireland)/:lang(en|pt|es|cs|ro|de)/medical-consultation,/:country/:lang/acute-medical-consultation,True,,,,
