dropped_url_id,merged_into,raw_url_before
U000586,U000584,"/cs/portugal-doctors/dra-ana-leal-neto,1,2,0.5,7,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000588,U000587,"/cs/product-page/amh-test-anti-m%C3%BCllerian-hormone,0,2,0,6,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000589,U000587,"/cs/product-page/amh-test-anti-m%C3%BCllerian-hormone,0,3,0,10.666666666666666,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000590,U000587,"/cs/product-page/amh-test-anti-m%C3%BCllerian-hormone,0,3,0,22,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000592,U000591,"/cs/product-page/beauty-focus-multibeauty,0,1,0,27,post_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000593,U000591,"/cs/product-page/beauty-focus-multibeauty,0,1,0,6,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000594,U000591,"/cs/product-page/beauty-focus-multibeauty,0,2,0,1.5,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000598,U000597,"/cs/product-page/psa-test-prostatic-specific-antigen,0,6,0,65.66666666666667,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000599,U000597,"/cs/product-page/psa-test-prostatic-specific-antigen,cze,0,6,0,65.66666666666667,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000602,U000601,"/cs/spain-doctors/dr-ariana-gonzalvez-garcia,1,4,0.25,6.75,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000603,U000601,"/cs/spain-doctors/dr-ariana-gonzalvez-garcia,5,9,0.5555555555555556,2.333333333333333,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000605,U000604,"/cs/spain-doctors/dr-eszter-szilagyi,0,10,0,12.2,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000606,U000604,"/cs/spain-doctors/dr-eszter-szilagyi,0,25,0,3.16,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000607,U000604,"/cs/spain-doctors/dr-eszter-szilagyi,aut,0,13,0,1.9230769230769231,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000608,U000604,"/cs/spain-doctors/dr-eszter-szilagyi,deu,0,3,0,1,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000609,U000604,"/cs/spain-doctors/dr-eszter-szilagyi,esp,0,2,0,5,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000610,U000604,"/cs/spain-doctors/dr-eszter-szilagyi,swe,0,1,0,2,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000614,U000613,"/cs/spain-doctors/irene-galve-moros,0,1,0,7,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000616,U000615,"/cs/spain-doctors/javier-villarte-betancor,0,1,0,9,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000617,U000615,"/cs/spain-doctors/javier-villarte-betancor,0,2,0,50.5,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000622,U000621,"/czechia-doctors/mudr-ahmed-maklad,0,30,0,13.8,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000623,U000621,"/czechia-doctors/mudr-ahmed-maklad,0,4,0,11.75,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000624,U000621,"/czechia-doctors/mudr-ahmed-maklad,1,15,0.06666666666666667,8.266666666666666,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000625,U000621,"/czechia-doctors/mudr-ahmed-maklad,1,24,0.041666666666666664,10.125,post_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000626,U000621,"/czechia-doctors/mudr-ahmed-maklad,2,52,0.038461538461538464,8.403846153846153,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000627,U000621,"/czechia-doctors/mudr-ahmed-maklad,2,9,0.2222222222222222,3,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000628,U000621,"/czechia-doctors/mudr-ahmed-maklad,3,46,0.06521739130434782,8.043478260869566,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000629,U000621,"/czechia-doctors/mudr-ahmed-maklad,4,49,0.08163265306122448,7,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000630,U000621,"/czechia-doctors/mudr-ahmed-maklad,are,0,7,0,11.142857142857142,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000631,U000621,"/czechia-doctors/mudr-ahmed-maklad,aus,0,3,0,7.333333333333333,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000632,U000621,"/czechia-doctors/mudr-ahmed-maklad,aut,0,1,0,11,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000633,U000621,"/czechia-doctors/mudr-ahmed-maklad,bih,0,1,0,59,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000634,U000621,"/czechia-doctors/mudr-ahmed-maklad,can,1,17,0.058823529411764705,8.058823529411764,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000635,U000621,"/czechia-doctors/mudr-ahmed-maklad,cze,0,2,0,5,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000636,U000621,"/czechia-doctors/mudr-ahmed-maklad,dom,0,1,0,6,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000637,U000621,"/czechia-doctors/mudr-ahmed-maklad,egy,0,11,0,8,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000638,U000621,"/czechia-doctors/mudr-ahmed-maklad,gbr,1,15,0.06666666666666667,10.933333333333334,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000639,U000621,"/czechia-doctors/mudr-ahmed-maklad,ind,0,1,0,6,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000640,U000621,"/czechia-doctors/mudr-ahmed-maklad,irl,0,1,0,6,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000641,U000621,"/czechia-doctors/mudr-ahmed-maklad,isr,0,2,0,5.5,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000642,U000621,"/czechia-doctors/mudr-ahmed-maklad,lva,0,1,0,4,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000643,U000621,"/czechia-doctors/mudr-ahmed-maklad,nld,0,2,0,8,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000644,U000621,"/czechia-doctors/mudr-ahmed-maklad,sau,0,12,0,7.5,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000645,U000621,"/czechia-doctors/mudr-ahmed-maklad,svk,0,2,0,4,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000646,U000621,"/czechia-doctors/mudr-ahmed-maklad,tur,0,1,0,6,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000647,U000621,"/czechia-doctors/mudr-ahmed-maklad,usa,0,8,0,11.25,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000649,U000648,"/czechia-doctors/mudr-andrei-lavrov,0,3,0,5.333333333333333,post_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000650,U000648,"/czechia-doctors/mudr-andrei-lavrov,2,12,0.16666666666666666,4.416666666666666,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000652,U000651,"/czechia-doctors/mudr-gabriele-felici,0,3,0,4,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000653,U000651,"/czechia-doctors/mudr-gabriele-felici,1,11,0.09090909090909091,6.909090909090909,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000654,U000651,"/czechia-doctors/mudr-gabriele-felici,1,6,0.16666666666666666,6.666666666666667,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000655,U000651,"/czechia-doctors/mudr-gabriele-felici,4,29,0.13793103448275862,5.0344827586206895,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000656,U000651,"/czechia-doctors/mudr-gabriele-felici,aut,0,1,0,5,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000657,U000651,"/czechia-doctors/mudr-gabriele-felici,cze,1,2,0.5,8,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000658,U000651,"/czechia-doctors/mudr-gabriele-felici,deu,0,8,0,6.125,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000659,U000651,"/czechia-doctors/mudr-gabriele-felici,fra,0,1,0,9,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000660,U000651,"/czechia-doctors/mudr-gabriele-felici,gbr,1,1,1,2,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000661,U000651,"/czechia-doctors/mudr-gabriele-felici,usa,0,4,0,2,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000663,U000662,"/czechia-doctors/mudr-jana-cyplinska,0,2,0,1.5,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000664,U000662,"/czechia-doctors/mudr-jana-cyplinska,0,23,0,7.434782608695652,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000665,U000662,"/czechia-doctors/mudr-jana-cyplinska,1,25,0.04,5.48,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000666,U000662,"/czechia-doctors/mudr-jana-cyplinska,3,8,0.375,9.125,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
