"query","page","clicks","impressions","ctr","position","start_date","end_date"
"calculadora parto","https://www.myglobalhealth.online/portugal/pt/tools/due-date-calculator","0","1","0","43","2026-05-31","2026-08-28"
"calculadora periodo fertil e ovulação","https://www.myglobalhealth.online/portugal/pt/tools/ovulation-calculator","0","1","0","68","2026-05-31","2026-08-28"
"calculadora periodo fertil irregular","https://www.myglobalhealth.online/portugal/pt/tools/ovulation-calculator","0","1","0","65","2026-05-31","2026-08-28"
"calculadora tensão arterial","https://www.myglobalhealth.online/portugal/pt/tools/blood-pressure-chart","0","7","0","7","2026-05-31","2026-08-28"
"calculadora índice de massa corporal","https://www.myglobalhealth.online/portugal/pt/tools/bmi-calculator","0","1","0","55","2026-05-31","2026-08-28"
"calcular calorias diarias","https://www.myglobalhealth.online/portugal/pt/tools/calorie-calculator","0","1","0","37","2026-05-31","2026-08-28"
"calcular calorias para emagrecer","https://www.myglobalhealth.online/portugal/pt/tools/calorie-calculator","0","1","0","42","2026-05-31","2026-08-28"
"calcular ciclo menstrual","https://www.myglobalhealth.online/portugal/pt/tools/ovulation-calculator","0","1","0","68","2026-05-31","2026-08-28"
"calcular data de parto","https://www.myglobalhealth.online/portugal/pt/tools/due-date-calculator","0","1","0","55","2026-05-31","2026-08-28"
"calcular data do parto","https://www.myglobalhealth.online/portugal/pt/tools/due-date-calculator","0","1","0","48","2026-05-31","2026-08-28"
"calcular data prevista parto","https://www.myglobalhealth.online/portugal/pt/tools/due-date-calculator","0","1","0","49","2026-05-31","2026-08-28"
"calcular data provavel do parto","https://www.myglobalhealth.online/portugal/pt/tools/due-date-calculator","0","1","0","47","2026-05-31","2026-08-28"
"calcular data provavel parto","https://www.myglobalhealth.online/portugal/pt/tools/due-date-calculator","0","1","0","49","2026-05-31","2026-08-28"
"calcular dias ferteis","https://www.myglobalhealth.online/spain/pt/tools/ovulation-calculator","0","1","0","35","2026-05-31","2026-08-28"
"calcular imc","https://www.myglobalhealth.online/portugal/pt/tools/bmi-calculator","0","2","0","52.5","2026-05-31","2026-08-28"
"calcular imc homem","https://www.myglobalhealth.online/portugal/pt/tools/bmi-calculator","0","1","0","48","2026-05-31","2026-08-28"
"calcular imc mulher","https://www.myglobalhealth.online/portugal/pt/tools/bmi-calculator","0","2","0","55.5","2026-05-31","2026-08-28"
"calcular imc online","https://www.myglobalhealth.online/portugal/pt/tools/bmi-calculator","0","1","0","45","2026-05-31","2026-08-28"
"calcular indice de massa corporal","https://www.myglobalhealth.online/portugal/pt/tools/bmi-calculator","0","1","0","59","2026-05-31","2026-08-28"
"calcular nascimento","https://www.myglobalhealth.online/portugal/pt/tools/due-date-calculator","0","1","0","74","2026-05-31","2026-08-28"
"calcular nascimento do bebe","https://www.myglobalhealth.online/portugal/pt/tools/due-date-calculator","0","1","0","82","2026-05-31","2026-08-28"
"calcular o imc","https://www.myglobalhealth.online/portugal/pt/tools/bmi-calculator","0","2","0","62","2026-05-31","2026-08-28"
"calcular ovulação periodo fertil","https://www.myglobalhealth.online/portugal/pt/tools/ovulation-calculator","0","1","0","57","2026-05-31","2026-08-28"
"calcular periodo","https://www.myglobalhealth.online/portugal/pt/tools/ovulation-calculator","0","1","0","64","2026-05-31","2026-08-28"
"calcular periodo fertil","https://www.myglobalhealth.online/ireland/pt/tools/ovulation-calculator","0","6","0","70.83333333333333","2026-05-31","2026-08-28"
"calcular periodo fertil","https://www.myglobalhealth.online/portugal/pt/tools/ovulation-calculator","0","8","0","84.875","2026-05-31","2026-08-28"
